,Bitcoin_Volume,Litecoin_Close,Litecoin_Volume,Dogecoin_Close,Dogecoin_Volume,Japan_Gold(trend),Japan_S&P500(trend),DE_Ethereum(trend),DE_S&P500(trend),IN_Bitcoin(trend),IN_Ethereum(trend),IN_S&P500(trend),US_Ethereum(trend),US_S&P500(trend),Date,United States_CPI,Eurozone_CPI,China_CPI,Japan_CPI,date,Ukraine_Russia_War,Israil_Palestin_War,US_Election,China_Election,Japan_Election,Germany_Election,India_Election
51,4.33146770711446e-05,0.0004716788785554,3.05428171623757e-05,0.0005513799102729,6.95560040194998e-05,77,4,0,0,1,0,0,0,1,2015-11-21,238.017,100.01,100.1,99.87274,2015-11-21,0,0,0,0,0,0,0
52,2.97485481362746e-05,0.000436631822192,3.13047481338378e-05,0.0005513799102729,6.95560040194998e-05,69,2,0,1,1,0,0,0,0,2015-11-22,238.017,100.01,100.1,99.87274,2015-11-22,0,0,0,0,0,0,0
53,4.12585726752272e-05,0.0004034356304006,4.90047769522902e-05,0.0005513799102729,6.95560040194998e-05,90,0,0,0,1,0,0,0,2,2015-11-23,238.017,100.01,100.1,99.87274,2015-11-23,0,0,0,0,0,0,0
54,4.66259283440043e-05,0.0003610087411614,5.57182168758954e-05,0.0005513799102729,6.95560040194998e-05,82,2,0,1,1,0,0,0,2,2015-11-24,238.017,100.01,100.1,99.87274,2015-11-24,0,0,0,0,0,0,0
55,8.16854146503875e-05,0.0009780137507213,0.000131702352647,0.0005513799102729,6.95560040194998e-05,78,4,0,0,1,0,0,0,1,2015-11-25,238.017,100.01,100.1,99.87274,2015-11-25,0,0,0,0,0,0,0
56,0.0002652933146982,0.0016661828555169,0.0004552979374415,0.0005513799102729,6.95560040194998e-05,77,0,0,0,1,0,0,0,1,2015-11-26,238.017,100.01,100.1,99.87274,2015-11-26,0,0,0,0,0,0,0
57,0.0001201866533124,0.0015886560635963,0.0001263310449597,0.0005513799102729,6.95560040194998e-05,91,0,0,1,1,0,0,0,1,2015-11-27,238.017,100.01,100.1,99.87274,2015-11-27,0,0,0,0,0,0,0
58,6.78651220346474e-05,0.0014425732976627,6.58178314232198e-05,0.0005513799102729,6.95560040194998e-05,100,4,0,0,1,0,0,0,1,2015-11-28,238.017,100.01,100.1,99.87274,2015-11-28,0,0,0,0,0,0,0
59,7.81020486743541e-05,0.0018262686522726,0.0001229821054747,0.0005513799102729,6.95560040194998e-05,95,0,0,0,1,0,0,0,1,2015-11-29,238.017,100.01,100.1,99.87274,2015-11-29,0,0,0,0,0,0,0
60,0.00016726534633,0.0016997701100613,0.0001573790373614,0.0005513799102729,6.95560040194998e-05,81,3,0,0,1,0,0,0,1,2015-11-30,238.017,100.01,100.1,99.87274,2015-11-30,0,0,0,0,0,0,0
61,0.0001352116589805,0.0012139054145956,0.0001297199983251,0.0005513799102729,6.95560040194998e-05,91,2,0,0,1,0,0,0,2,2015-12-01,237.761,100.03,100.6,99.87274,2015-12-01,0,0,0,0,0,0,0
62,0.0001172842864364,0.0009723032397724,0.0001080941632467,0.0005513799102729,6.95560040194998e-05,70,0,0,1,1,0,0,0,2,2015-12-02,237.761,100.03,100.6,99.87274,2015-12-02,0,0,0,0,0,0,0
63,0.0001074665019207,0.0010641980129699,7.98026826018293e-05,0.0005513799102729,6.95560040194998e-05,86,2,0,0,1,0,0,0,2,2015-12-03,237.761,100.03,100.6,99.87274,2015-12-03,0,0,0,0,0,0,0
64,6.49231489348904e-05,0.0010233092624447,4.58875845241857e-05,0.0005513799102729,6.95560040194998e-05,69,4,0,0,1,0,0,0,2,2015-12-04,237.761,100.03,100.6,99.87274,2015-12-04,0,0,0,0,0,0,0
65,0.0001518234780329,0.0014455202570419,0.000119878806755,0.0005513799102729,6.95560040194998e-05,97,0,0,0,1,0,0,0,1,2015-12-05,237.761,100.03,100.6,99.87274,2015-12-05,0,0,0,0,0,0,0
66,0.0001845336599124,0.0013135188588253,0.0001976068808109,0.0005513799102729,6.95560040194998e-05,79,3,0,0,1,0,0,0,1,2015-12-06,237.761,100.03,100.6,99.87274,2015-12-06,0,0,0,0,0,0,0
67,0.0001437700225664,0.0017621455517561,0.0002058169510089,0.0005513799102729,6.95560040194998e-05,78,2,0,0,1,0,0,0,2,2015-12-07,237.761,100.03,100.6,99.87274,2015-12-07,0,0,0,0,0,0,0
