,Date,Japan_Gold(trend),Japan_S&P500(trend),DE_Ethereum(trend),DE_S&P500(trend),IN_Bitcoin(trend),IN_Ethereum(trend),IN_S&P500(trend),US_Ethereum(trend),US_S&P500(trend)
303,2016-09-01 00:00:00,43,2,0,0,1,0,0,0,1
304,2016-09-02 00:00:00,41,0,0,0,2,0,0,0,1
305,2016-09-03 00:00:00,47,0,0,0,1,0,0,0,0
306,2016-09-04 00:00:00,49,0,0,0,2,0,0,0,0
307,2016-09-05 00:00:00,42,1,0,0,2,0,0,0,0
308,2016-09-06 00:00:00,41,0,0,0,2,0,0,0,1
309,2016-09-07 00:00:00,38,3,0,0,1,0,0,0,1
310,2016-09-08 00:00:00,40,0,0,0,2,0,0,0,1
311,2016-09-09 00:00:00,35,1,0,0,2,0,0,0,1
312,2016-09-10 00:00:00,44,0,0,0,1,0,0,0,1
313,2016-09-11 00:00:00,48,0,0,1,2,0,0,0,0
314,2016-09-12 00:00:00,41,0,0,0,2,0,0,0,2
315,2016-09-13 00:00:00,37,3,0,0,1,0,0,0,1
316,2016-09-14 00:00:00,33,0,0,0,1,0,0,0,1
317,2016-09-15 00:00:00,32,0,0,0,1,0,0,0,1
318,2016-09-16 00:00:00,37,1,0,0,2,0,0,0,1
319,2016-09-17 00:00:00,39,0,0,0,1,0,0,0,0
320,2016-09-18 00:00:00,43,0,0,0,2,0,0,0,0
321,2016-09-19 00:00:00,29,0,0,0,2,0,0,0,1
322,2016-09-20 00:00:00,32,0,1,0,1,0,0,0,1
323,2016-09-21 00:00:00,34,0,0,0,2,0,0,0,1
324,2016-09-22 00:00:00,39,0,0,0,1,0,0,0,1
325,2016-09-23 00:00:00,36,0,1,0,2,0,0,0,1
326,2016-09-24 00:00:00,37,0,0,0,2,0,0,0,0
327,2016-09-25 00:00:00,40,0,1,0,2,0,0,0,0
328,2016-09-26 00:00:00,31,2,0,0,2,0,0,0,1
329,2016-09-27 00:00:00,31,0,0,0,2,0,0,0,1
330,2016-09-28 00:00:00,32,0,0,0,1,0,0,0,1
331,2016-09-29 00:00:00,67,2,1,0,0,0,0,0,2
332,2016-09-30 00:00:00,79,0,0,0,0,0,0,0,2
333,2016-10-01 00:00:00,81,0,1,0,0,0,0,0,1
334,2016-10-02 00:00:00,72,0,0,0,0,0,0,0,1
335,2016-10-03 00:00:00,87,0,0,0,0,0,0,0,2
336,2016-10-04 00:00:00,80,0,1,1,1,0,0,0,2
337,2016-10-05 00:00:00,77,0,0,0,0,0,0,0,2
338,2016-10-06 00:00:00,82,0,0,0,0,0,0,0,2
339,2016-10-07 00:00:00,80,0,0,0,1,0,0,0,1
340,2016-10-08 00:00:00,74,0,0,0,0,0,0,0,1
341,2016-10-09 00:00:00,94,0,0,0,0,0,0,0,0
342,2016-10-10 00:00:00,78,0,0,0,1,0,0,0,1
343,2016-10-11 00:00:00,77,4,0,1,1,0,0,0,2
344,2016-10-12 00:00:00,79,0,1,1,1,0,0,0,2
345,2016-10-13 00:00:00,78,0,0,0,1,0,0,0,2
346,2016-10-14 00:00:00,73,0,0,1,1,0,0,0,2
347,2016-10-15 00:00:00,74,0,1,1,1,0,0,0,1
348,2016-10-16 00:00:00,70,5,0,0,1,0,0,0,0
349,2016-10-17 00:00:00,73,6,0,0,0,0,0,0,2
350,2016-10-18 00:00:00,75,0,0,0,1,0,0,0,2
351,2016-10-19 00:00:00,76,0,0,1,1,0,0,0,2
352,2016-10-20 00:00:00,86,0,0,1,0,0,0,0,2
353,2016-10-21 00:00:00,63,0,0,0,1,0,0,0,2
354,2016-10-22 00:00:00,72,0,1,0,0,0,0,0,1
355,2016-10-23 00:00:00,63,0,1,0,1,0,0,0,1
356,2016-10-24 00:00:00,69,0,0,0,1,0,0,0,2
357,2016-10-25 00:00:00,95,0,1,0,1,0,0,0,1
358,2016-10-26 00:00:00,89,0,0,0,1,0,0,0,2
359,2016-10-27 00:00:00,91,0,1,0,1,0,0,0,2
360,2016-10-28 00:00:00,80,0,0,0,2,0,0,0,2
361,2016-10-29 00:00:00,71,0,1,0,1,0,0,0,1
362,2016-10-30 00:00:00,66,0,0,0,1,0,0,0,0
363,2016-10-31 00:00:00,73,0,0,0,1,0,0,0,2
364,2016-11-01 00:00:00,54,3,2,0,1,0,0,0,2
365,2016-11-02 00:00:00,72,0,0,1,1,0,0,0,2
366,2016-11-03 00:00:00,79,0,1,0,1,0,0,0,2
367,2016-11-04 00:00:00,75,0,0,0,1,0,0,0,2
368,2016-11-05 00:00:00,74,0,0,0,2,0,0,0,1
369,2016-11-06 00:00:00,78,0,1,1,1,0,0,0,1
370,2016-11-07 00:00:00,64,3,0,1,1,0,0,0,3
371,2016-11-08 00:00:00,69,0,0,0,1,0,0,0,3
372,2016-11-09 00:00:00,80,4,0,1,2,0,0,0,8
373,2016-11-10 00:00:00,79,0,1,1,1,0,0,0,4
